country_of_birth,country_of_destination,education_level,sex,number
BGR,ITA,ISCED 5/6/7/8,Female,27525.00011843443
BGR,ITA,ISCED 5/6/7/8,Male,8158.999994114041
BGR,LTU,ISCED 5/6/7/8,Female,18.0
BGR,LTU,ISCED 5/6/7/8,Male,43.0
BGR,LUX,ISCED 5/6/7/8,Female,3419.0
BGR,LUX,ISCED 5/6/7/8,Male,1986.0
BGR,LVA,ISCED 5/6/7/8,Female,69.0
BGR,LVA,ISCED 5/6/7/8,Male,114.0
BGR,NOR,ISCED 5/6/7/8,Female,5529.0
BGR,NOR,ISCED 5/6/7/8,Male,3655.0
BGR,NZL,ISCED 5/6/7/8,Female,999.0
BGR,NZL,ISCED 5/6/7/8,Male,615.0
BGR,POL,ISCED 5/6/7/8,Female,2620.0
BGR,POL,ISCED 5/6/7/8,Male,2729.0
BGR,PRT,ISCED 5/6/7/8,Female,1707.0
BGR,PRT,ISCED 5/6/7/8,Male,685.0
BGR,SVK,ISCED 5/6/7/8,Female,948.0
BGR,SVK,ISCED 5/6/7/8,Male,1094.0
BGR,SVN,ISCED 5/6/7/8,Female,481.0
BGR,SVN,ISCED 5/6/7/8,Male,220.0
BGR,SWE,ISCED 5/6/7/8,Female,9670.0
BGR,SWE,ISCED 5/6/7/8,Male,5945.0
BGR,TUR,ISCED 5/6/7/8,Female,36740.0
BGR,TUR,ISCED 5/6/7/8,Male,30584.0
BGR,USA,ISCED 5/6/7/8,Female,131644.0
BGR,USA,ISCED 5/6/7/8,Male,99611.0
BOL,AUS,ISCED 5/6/7/8,Female,1510.0
BOL,AUS,ISCED 5/6/7/8,Male,950.0
BOL,BGR,ISCED 5/6/7/8,Female,7.0
BOL,BGR,ISCED 5/6/7/8,Male,4.0
BOL,CAN,ISCED 5/6/7/8,Female,4950.0
BOL,CAN,ISCED 5/6/7/8,Male,3780.0
BOL,CHE,ISCED 5/6/7/8,Female,3058.7479667663574
BOL,CHE,ISCED 5/6/7/8,Male,2712.5620288848877
BOL,COL,ISCED 5/6/7/8,Female,914.0
BOL,COL,ISCED 5/6/7/8,Male,1214.0
BOL,CZE,ISCED 5/6/7/8,Female,125.0
BOL,CZE,ISCED 5/6/7/8,Male,222.0
BOL,DNK,ISCED 5/6/7/8,Female,201.0
BOL,DNK,ISCED 5/6/7/8,Male,126.0
BOL,ESP,ISCED 5/6/7/8,Female,73815.0
BOL,ESP,ISCED 5/6/7/8,Male,45826.0
BOL,EST,ISCED 5/6/7/8,Female,10.0
BOL,FRA,ISCED 5/6/7/8,Female,6465.15646648407
BOL,FRA,ISCED 5/6/7/8,Male,3104.7398838996887
BOL,GRC,ISCED 5/6/7/8,Female,39.0
BOL,GRC,ISCED 5/6/7/8,Male,27.0
BOL,HUN,ISCED 5/6/7/8,Female,63.0
BOL,HUN,ISCED 5/6/7/8,Male,80.0
BOL,ITA,ISCED 5/6/7/8,Female,6960.99998831749
BOL,ITA,ISCED 5/6/7/8,Male,3419.999997496605
BOL,LUX,ISCED 5/6/7/8,Female,174.0
BOL,LUX,ISCED 5/6/7/8,Male,127.0
BOL,LVA,ISCED 5/6/7/8,Male,5.0
BOL,NOR,ISCED 5/6/7/8,Female,601.0
BOL,NOR,ISCED 5/6/7/8,Male,573.0
BOL,NZL,ISCED 5/6/7/8,Female,108.0
BOL,NZL,ISCED 5/6/7/8,Male,57.0
BOL,POL,ISCED 5/6/7/8,Female,43.0
BOL,POL,ISCED 5/6/7/8,Male,144.0
BOL,PRT,ISCED 5/6/7/8,Female,240.0
BOL,PRT,ISCED 5/6/7/8,Male,137.0
BOL,SVK,ISCED 5/6/7/8,Female,5.0
